name,value,count
Text_84,"tl;dr: amazing remake, hard to justify price.

the last of us part 1 is an absolutely phenomenal remake with love, care and meticulous attention to detail for the original experience oozing out of every crevice, everything from the characters to the environments have been completely rebuilt to take full advantage of the playstation 5 and the result is an absolutely stunning game with",386
Text_88,"jogo incrível, para quem não jogou recomendo muito se já jogou espere um pouco pegue o game quando sobrar um dinheiro ou entrar no servidor, não acho justo o preço cobrado, porém menos justo que isso seria avaliar a qualidade do jogo pelo preço então nota 10",258
Text_89,"a gorgeous and well-honed remake of one of the biggest boppers in the playstation pantheon, the last of us part i is the best way to play – or replay – naughty dog’s esteemed survival classic",191
Text_93,"feels and looks so different and looks better than part 2 , i’m freeking amazing - props naughty dog",100
Text_97,i feel like this game has to be rated without the price tag and yea it is really hefty one but i dont think the price tag affects you when you are already playing the game so thats why im not including it and if you cant afford or just dont want to pay that much money that's fine it your money. there are also new small improvements like now we can sprint while throwing objects and now,387
Text_101,"$70 for a game that has already been released twice? plays the same, looks a bit better than the remaster, but not worth the price. sony continue to fleece loyal customers.",172
Text_102,"it is the definitive way to play the first last of us game, nothing more. and that’s perfect.",93
Text_103,"the game is re-built in a way that makes you feel the atmosphere in more details, feeling like you are there. characters emotions are way better.",145
Text_104,amazing job. the definitive edition of a masterpiece. every detail completely care.,83
Text_105,"best cg best story

best sound

best hit satisfaction

best accessibility option",80
Text_106,"really disappointing to see naughty dog and sony wasting resources on remake. their talent deserves to work on brand new exciting projects.
graphics look better, yes but really no reason to revisit this if u replayed tlou multiple times before.
no exciting extra modes (except speed run) and no multiplayer....
please stop milking this ip.",339
Text_107,hey its game very good woow very good last of us 1game and joel face good...,76
Text_108,"sometimes i want to delete all my memories to experience this story over and over again. this game is a masterpiece. insane graphics and details, the combat is brutal and fun and the story is just so damn good.",210
Text_110,"(disclaimer: this was my first tine playing the last of us)
i cannot begin to describe what i have experienced in the last of us. this proves that video games are a form of storytelling, a form of art even. beautiful moments can turn into tragedies in the span of 20 seconds. many may say that the gameplay is outdated, but i enjoyed every second of it. it may not have a vast open world to",390
Text_114,"a lovely journey but with even more outstanding visuals. if you love this game, you're in for a treat. although the price might be too much for you, so waiting for an off is not a bad decision.",193
Text_118,"i’ll start by prefacing with what pretty much everybody has stated before. 70 dollars is too much, and it should be closer to 40-50 dollar range.
new stuff:
joel can smash windows and glass objects and climb through, akin to part 2.

the camera has been reworked to be more dynamic during gameplay and combat.

the duelsense feature has been integrated to even feel when raindrops hit your head, and is an impressive display of the ps5s tech prowess.

the same dualsense plays a role in feeling the impact of combat. the redone graphics provide impressive facial features and some animation have actually been ported from part 2, notably during ellie’s winter portion or whenever joel smashes a window or door.

enemies will now do a 180 turn around during patrol (also from part 2).

the weapons have all been redesigned to allow visible upgrades from the redesigned work bench. the game came with the standalone dlc “left behind” (an entertaining story in its own right). also resigned with all the above. some specific character models from part 2 have been inserted for eagle eyed players (supposedly seth is in the game). the surgeon is also more overtly abby’s father from part 2 flashbacks. can’t forget about accessibility. everything from part 2 pertaining to that is here as well, even included extras and renders with an improved photo mode. not new: most of the animations you’ll see are just the same ones from the original, just beefed up with good controls and camera work. same with voice performances. the bad:
already mentioned at beginning.

i refuse to give this game a perfect score (as i don’t believe in them), but credit where it is due: the game is considered one of the best of all time for a reason and those reasons are all there, just prettier. it’s a fun game for anyone new to the series, but returning players should wait for a price drop or stream it on psplus premium if/when it’s available.",1925
Text_122,"what an absolute masterpiece. this technical update is absolutly outstanding. this is the best way to discover this game. for the fans and the new ones, this game is worth to play, you can't say yourself as a gamer if you've don't touched it, so my advice is to try it and you'll love it, for several days after that you'll be shocked by this experience lived never before. and after that,",389
Text_126,"the best game in the world!
the best game in the world
the best game in the world",81
Text_127,"great game, remastered and remade... worth the 70$ especially with the new features, love and dedication poured into it. i read these bad reviews and it's like ""tf were these people expecting?"" everyone's a game designer now? if you've played it multiple times remastered/og you should still give this a shot.",309
Text_128,i am one of the tlou fan and i played remaster and orginal version but this is look like remaster but with some new animation and something new the remake version can t make me to play this game again,200
Text_129,the best story ever told in video games deserves the best version possible. what a masterpiece,94
Text_133,"hey at least they didn't kill joel right?

this is the last of us part i part 3. this is the third time this game has come out. this makes the $70 they are making us pay feel even worse. i really regret buying this one. i am starting to think that playstation is losing me. i don't know. it sucks. gaming sucks these days.",322
Text_136,"cash crab?! more like meticulously rebuilt experience. no one is grabbing your cash, but i recommend you willingly part with it (cash) for such an excellent piece of work. it truly feels like other devs don’t even try.",218
Text_138,"niepotrzebne odświeżenie gry która wciąż dobrze wygląda na ps4. ale skoro już jest to cena powinna być niższa, oprawa audiowizualnia robi wrażenie.",147
Text_139,"this is the same game, only they are trying to sell it to us 3 times a remix of a remaster, and what next in a year will be the director's version. this cannot be supported otherwise the conversion of mediocrity and creative patents will not stop, and we will watch this picture endlessly.",289
Text_141,"for a 70$/80€ remake, which is more than what the original game cost, we should really be able to expect more than just the bare minimum. this remake has no significant gameplay changes and released with less content than the original game (no multiplayer).

overall the graphical upgrades look great, even though i do think, that the characters look a bit strange in some cutscenes.  i",388
Text_146,"absolutely phenomenal game and it’s clearly a well done remake, that’s what experts like digital foundry said also , so no one should care about those xbots they just don’t have games and out of jealousy review bombing all playstation exclusives lmao",250
Text_147,"its an ok game but holy **** its far from worth it, just buy the ps4 remaster and play it instead",97
Text_148,remaster of the remaster of the remaster without multiplayer. broken af. it's not worth 80€. the ps4 version should have had a free upgrade to ps5. avoid this game if you don't want to be ripped off.,199
Text_149,"""remake"", ha-h, a pitiful cash grab, a shameless corruption of original, a failed attempt to solidify the golf club 2020 - that's what it is.",141
Text_150,classic cash grab. what else to say. please give us remaster when ps6 is out.,77
Text_154,"70$ for 2013 game? is not in plus
why why????? its not remake its remaster 70$$$$$$$ whyyyyyy??
im not have mony 70$",116
Text_157,"it's the same game, for the third time.
and it costs more than the previous versions.
looks more like another remaster, even if it's a pathetic remake. they even removed the multiplayer, lmao.
an absolute embarassing for naughty dog.",233
Text_159,"aside from the slight visual enhancements there's really nothing impressive or new about this game, the gameplay feels outdated just like the 2014 remaster and i expected something like the sequel's gameplay and smooth animations and visuals but all i got was a new remastered of the 2014 remastered game, you can barely tell the difference between the two aside from some tweaks here and",388
Text_163,"as a playstation fan, this is exactly a robbery not a real remake. shame on you, sony and naughty dog.",102
Text_165,"this game is a blatant and shameless cash grab by sony, they call it a remake that was built from the ground up and it's very clear that was a lie. if they want to call this game a remake then i will compare it to other remakes then.

for starters there are no new levels or locations to explore, also there are no new gameplay mechanics or gameplay improvements. the soundtrack is the same",390
Text_169,"not only is this the worst version of the game, it’s also the most expensive one. character models have been changed too much, bugs, no multiplayer, special editions damaged. naughty dog should’ve been shut down after part ii.",226
Text_170,"just play the original, you can get it for 20$ or for free with the ps plus collection.
naughty dog should focus on making new games and ips instead of cash-grabbing remakes that no one wanted.",193
Text_171,i don’t mind any remake but you charge me with 70$ for game that didn’t take the budget and development al lot from you,119
Text_174,"i don’t know what i was expecting, but it certainly wasn’t this. it might have been the 70 dollar price tag that had me thinking i was getting a triple-a next-gen experience but i was very wrong. the graphics are improved, but the gameplay stinks of a two generation old 3d game. even if you’ve never played this game before, the gameplay is so old and outdated. i’m giving it a zero because",391
Text_178,"nice graphics, but only that, no gameplay improvements, same level design, just a cash grab 60$",95
Text_179,"this game is and it will be one of the best game ever but, this new revision is stupidly expensive. you can get the last of us remastered for 20 euros/bucks in all country's right now if you don't have it already. why should i spend 60 more euros in europe just for a face-lift ?!!! $ony, you deserve all the hate and you've done this yourself .",345
Text_180,won't fool me into buying this a third time especially with missing content and clunky old mechanics. this is not a remake just another remaster with missing content and a hefty price tag. and i can't understand why and old ps3 game can't do 4k 60fps. save your money for ragnarok.,281
Text_181,"my humble opinion, the existence of this project is just as tasteless
it's your call but for now it's not recommended.
3/10 this game at that stage.",148
Text_184,"first off, this is not a remake, is a remaster, and a remaster of a remaster at that...and they had the nerve to charge $70 for it!
now, to make it simple:
 if you never played any of the previous versions: buy it. if you only played the ps3 version: maybe buy it on a sale. if you played the ps4 version: dont buy it.  and the score is for this re-remaster, not for the game itself,",388
Text_189,"i liked the original game, which is not surprising, many did, but while it had a good story and pacing, i was frustrated by the game's gameplay mechanics and flawed controls (this is the case with many console exclusives, but that doesn't make it any less of an issue). i was hoping they'd have fixed some of the flaws of the original game, but unfortunately they haven't touched gameplay at",391
Text_193,"the last of us part 1 remake one of the best exprience in my life
the game is perfect",85
Text_194,greedy naughty dog calling it a remake it’s only graphics that were remade nothing else. gameplay is same clunky mess it was on ps3.,132
Text_196,"when it all comes down to it, what does this “remake” do to benefit the playability of this game? we look at remakes like final fantasy 7 and resident evil 2 which completely change the way their stories are composed, the actual gameplay and content and even the way characters are written. yet this remake does nothing at all, it’s nothing but fresh coat of paint with slightly better ai",388
Text_200,"still the same great game but released for the third time with no significant upgrades in terms of gameplay or content. graphically impressive but ultimately not enough to warrant a $70 dollar price tag. advice for first timers? buy the remaster for ps4, it’s the exact same game and much much cheaper. graphical fidelity is not enough at this price point.",356
Text_202,"+fantastic visual upgrade
+great accessibility additions
-full price feels like a cash grab -noticeable pop in at times -poor 4k 40fps mode performance (this is a review near launch) -no 'instant' ssd load times (very fast under 10 seconds but still it's an official sony title) -strangely feels like this could easily have been on ps4? not really feeling anything next gen here apart from",389
Text_1,"solid linear horror game, but with a lot of forced stealth in areas, it might not be for everyone. graphics, casting, story, and music is a perfect 10/10.",154
Text_3,"i am rating for the original tlou game here for a 10/10. it would be incontrovertible for tlou to have a high praise. well for the remake, the graphics are still wonderful, but there’s nothing more content than the origin. and 70 dollars may be a little bit too expensive for a remake like this. after all i had nice time with this new release.",344
Text_6,"man, these review-bomb-kids are so cute. and so tiring. 0 points? really? ah wait, the game is ps5 exclusive. ok, no further questions. wonder how many of them even own one. the game is brilliant. that`s the only thing that matters for the score. not the release policy, not the price (which is a little high but not completely unrealistic cause there is no such thing as a simple re-skin",388
Text_11,the last of us part 1 is an excellent game that does everything right to give you an experience you will never forget. and with this remake the game plays and runs phenomenal to the point it almost feels like you are playing a new game for the first time even though it has only been 8 years since the last time i played it.,324
Text_14,"story: 10 out of 10.
gameplay: 10 out of 10.
new graphics and appearance of the game: infinity out of 10. this game is a great and unique remake. we play this masterpiece one more time with much better graphics and it's really great. and it was so nice to see ellie happy once again, a girl who felt relaxed and happy next to joel. and in my opinion, this game needed this renovation, with",389
Text_18,"many people rate this game bad just because of the price. but the game itself is still a very good remaster of the original game. if you dont like the price, just wait a few months.",181
Text_21,"it's extremely overpriced so i kind of understand low reviews for this one, but as a remake, it seems to be very well done. can't wait for the pc release, because that's the only version i care about.",200
Text_23,people need to get a life. most reviews that score it a 0 give it because of the price? so in a couple months when the price goes down their review will still be up here and the user score will still be very low while haven't said anything about the quality of the game which we know is still amazing to this day. you don't need to buy it on day one if you don't want to splurge the cash on,390
Text_27,"just finished the game.
the value of the game is very low compared to the money paid.
i recommend playing this game when it's half off or free.
almost everything is the same as the previous game.
if you buy the game for the price now, i'm sure you will regret it like me.
if you subscribe to ps plus, you can play the last of us remastered.
the last of us remastered i highly recommend this.",391
Text_29,"i don't care if it is a cashgrab or not, but for me this game is just a slog. i can't get past how boring i think it is to actually play it.
after each section i just want to put the controller down and not continue. new room, same **** and after a couple of hours that's what happened and i never looked back.
there is of course some nice dynamic between ellie and joel, but other than",386
Text_33,i would of given it a higher score but i ran into a few bugs that let me down. i fell through the map a few times. i also took the removal of factions into account. given the price of £70 i expected more. hopefully in a few patches i can come back and give it a higher score,274
Text_35,"the graphics have improved, but that's all.

the price is ridiculous, bearing in mind sony also raised the price on ps5s recently too.

do not support this practice.",165
Text_36,a reskin of an old game that’s already remastered is not deserving of a good review. it’s replayablity is subjective but definitely not worth my time.,150
Text_37,jim ryan and hermen hulst are the worst thing that ever happened to the playstation.,84
Text_38,"10/10 for newcomers but 7/10 for the people who played before, it is just way too expensive for a remake like this.",115
Text_46,"visually it looks great, but that's all. the gameplay improvements feels more like a patch/touch up. when it comes down to it, it is just a used car with a new paint job. not worth the full retail price...",205
Text_47,as an typical xbox and nintendo gamer i need to say that this is the best story game. i need the last of us 2!! fast !!! :d,123
Text_49,"it was so obvious that this remake would get bombed after what happened with part two and the whole sjw-agenda-shtshow. and as always: anybody just give the mob any reason and it will start its crusade. i think we should go back to rating games and not their price or release-policy. if you can't or don´t want to afford it, then how about just not buying it? but spare us your frustrated",388
Text_54,absolute masterpiece gets a remake! this game feels much more smoover + next gen graphic,88
Text_55,"if you think this incredible remake is too expensive, then dont buy it and stop crying about the pricetag, easy as that..",121
Text_57,"i don’t know what i was expecting, but it certainly wasn’t this. it might have been the $70 price tag that had me thinking i was getting a triple-a next-gen experience, but i was very wrong. the graphics are improved, but the gameplay stinks of a two generation old 3d game. even if you’ve never played this game before, the gameplay is so old and outdated. i’m giving it a 0 because this",388
Text_62,"visual the game looks 2022, but the gameplay is stuck in 2022. charging full priced for a third release with a visual overhaul and bare minimum effort in other aspects makes it a hard sell especially since its a very linear game with not much replay value. the absent of the multiplayer, just like naughty dog their previous yet also lack luster (lazy) remasters of uncharted 4 and the stand",391
Text_66,"if you already played original don’t waste your money. if you haven’t, and you have some extra cash you can throw it here or buy original and you will not lose much of experience:)",180
Text_67,"bought the game to play the new updated factions which i enjoyed so much many years ago and it's not there? how could i have paid more money than the original and there is less content? what a rip off, i'm seriously pissed off.",227
Text_72,"2 stars for the graphics and facial expressions. gameplay there's nothing new. stupid and pointless 2022 remaster they call a ""remake"". it's now naughty thieves not naughty dog. and sony is really losing it these days. if horizon forbidden west a whole different game was $70 why should this be $70? this is robbery. don't listen to the dumb and gullible fans that are hyping this remaster.",390
Text_76,"cash grab from sony. 4k and only 30 fps. are you kidding me? no combat systém from part 2, nothing new, multiplayer has gone. thank you sony, you save my money for something more kindly and better.",197
Text_78,"what year is it? waste of money, og tlou ftw. if you buy this might aswell burn your hard earned dollars",104
Text_79,"a blatant and wholly apparent cash grab. not much done and so many other, interesting projects available for a remake treatment, but this is what they do. pathetic.",164
Text_80,"a ""remake"" that is nothing more then a remaster from a remaster for 70€. look at final fantasy vii crisis core where square enix even said it will be a remaster. sony and nd try to sell the same game (what is a little overhyped btw.) for a third time under the banner: ""remake"".",278
Text_81,"unnecessary remake xd it's literally a joke, disrespectful for one of the best games in history",95
Text_87,"rebuilt from the ground up but it is not really. only graphics upgrade and character skin changes. no multiplayer, no prone,no dodge and 70$ for all of this which is just a mod pc players could have make for free. they also changed jerry and the fireflies to make them look good",278
Text_91,the ps4 remake is superior and this is not worth $70. just another cash grab from greedy sony,93
Text_94,"stop selling the same game over and over! there are no big differences between this game and the 2013 game! you haven't redesigned the combat system, you haven't redesigned the levels! it's not a remake, it's a $70 reshade.",223
Text_95,game is great. but no game from 2013 is worth $70.. they are milking people releasing the same old stuff instead of new games.,126
Text_96,"it's sad to see that even a reputable studio like naughty dog has become just another greedy company exploiting their fans with another remake of a decades old game for $70. if people keep buying these gimmicks these companies will keep releasing the same game every couples years, it wont be financially worthwhile to make anything new.",337
Text_97,it's just graphical upgarde and nothing more and they are asking 70dollars for it not worth it.,95
Text_98,awful. absolutely awful. $70 for the same game the third time around. shame sony. completely buggy and has less features than the original. if there is no state of play this month im selling my ps5,197
Text_100,an overpriced unnecessary remake of a game that already received not only a remaster but a 4k update that can be played on ps4 pro and ps5. tlou was already overrated to begin with but anyone praising and supporting remakes like this is only doing harm to the videogame industry and encouraging developers to be lazy and uninspired.,332
Text_101,"in a row 2 remaster of the same game, the game is the same, but more expensive than the original. do gamers steal everything? but not.",134
Text_103,"this is just like how disney is remaking all their movies from the 90s into live-action.
you can literally play the ps4 version on your ps5 and it still looks and plays great.
the last of us should have just been the first game and the remaster that soon followed; the story there left off at a chilling ambiguous point that never needed to continue on. now it's a dead franchise being",385
Text_108,"...same as the 2014 remaster of the 2013 version except with even better graphics. overall, this feels like a forced unnecessary remake because the game play is just as clunky the 2013 and 2014 and not as refined as in the last of us part 2. it just feels like they made this game just to rename it with part 1 in the title because the majority of people didn't like part 2 and they wanted to",392
Text_112,yeah it's a masterpiece we all know that but this is just milking the gamers. 70$ for a slightly upgraded version. a remaster of a remaster is not a remake.,156
Text_113,"i’m not sure what they remade a good game, just to make it look worse and play worse, but it really seems like devs just don’t care anymore.",140
Text_115,"for me it was the first time playing the last of us . the graphics are very good. but the gameplay gets quick very boring/repetitive. what me bothers the most is the implementation of the dual sense controller . i like the new functions like adaptive triggers and haptic feedback a lot , but even the studios of sony don’t implement it good. the only studio done it really really good was",388
Text_120,"i had recently picked this up to see what the big deal was. this game wasn't all that people were saying it was. it wasn't a waste of $70, but i feel like a $60 price tag would've been fine. the story had some heart to it, but it feels like it was written years ago. graphics were phenomenal, but high end graphics don't make a game. controls weren't that great, but it wasn't the worst",386
Text_125,"good game, but it’s the exact same beat for beat from when i played it in 2009, just looks a bit better. the lighting and animations are significantly more detailed, and a noticeable improvement, but these small changes don’t justify the game’s 70$ price tag. they even cut the factions multiplayer, but charge more than both previous versions. if you’ve played the game before, you aren’t",389
Text_129,a shabby and glitchy re-remaster. naughty dog should be ashamed of how little effort they put in to this.,105
Text_130,"the best definitive version of the game, simple as that. the graphics, ai, animations and characters are realy well done. if you play tlou1 and tlou2 it will be amazing expecience.",180
Text_133,"i played the original on ps3 as well as part 2 and rated them both as 10. sorry only have 0 in stock for this cash grab. if you have a writer's block that's understandable, but if you have it together with acute greed crysis - it's not.",236
Text_134,"part ii destroys everything this game has to offer, i feel bad playing remake of the original, f u naughty dog",110
Text_135,"one word “overrated”. mediocre story, uninteresting characters except for joel, slow outdated gameplay, mo-cap acting in some of the cutscenes and dialogue lines are atrocious, overcooked facial animations make the characters look ugly and weird.. don’t believe the high scores. the game is seriously overrated.",311
Text_136,"this is not a remake, this is a regular remaster, which was created in order to make money on fools.",100
Text_137,"i'm buying the same game thrice, but now this stuff costs 70 bucks... we didn't deserve this shi...",99
Text_138,"cash grab lol, love the game but this aint a ”remake” worth 70$ lite bättre grafik annars exakt samma spel pinsamt sony",119
Text_139,"if heads wont roll in sony's management after this horrible and greedy cash grab idea, then playstation is doomed.",114
Text_140,"anyone referring to this as a remake needs to research the difference between remake and remaster.
this is the second remaster of this game. repackaged for $70.
naughty dog is trash and has no originality left in the tank.",222
Text_142,"i give it a 1, for just the core. but the game is a pure cash grab, as it does not change the fundamental gameplay in any meaning way. yes, this is a remaster, not a remake. however, sony would like to deceive you into thinking they did a ton of work to warrant the full $69 price tag.

this wouldn't be an issue if they offered a discounted price for those that already owned previous",385
Text_146,"this is the one of the best games ever done, but we don't deserve a 70€ rebuid version, is so greedy... 30€ is ok. we prefer you to invest time and resources in the last of us part 3",182
Text_148,"the game is too short and doesn't validate a $70 price tag. especially, because the game has actually less content than its predecessor. this is not a practice that should be encouraged in this industry.",203
Text_152,"i am really pissed off that nd did not introduce abby into tlou part 1.
abby is such a lovely, loving, caring and human-centric being.
btw, the surgeon's skin color is hard to tell whether he is white or black, pissed me off twice.
100/10 goty content.",252
Text_155,it don't worth it. 70$ for a bit changed graphics and a bit changed bot behavior... it looks like naughty dog just needed to show that they do something.,153
Text_156,"lol, how the hell is game is a remake, i feel bad for those blind fan boys, it's a remastered of a remastered. the only difference of this game is the graphic look better and nothing more, copy and paste cash grab, not worth $70.",229
Text_157,stop supporting remasters of games especially for full price. quit being a fool and make these companies earn your money by being innovative and not lazy.,154
Text_158,"same game as ps3 days. don’t buy this just get a 48 free trail code for playstation now and play the ps4 remaster for free.

don’t be foolish with your money.",158
Text_159,they are selling the same game for the third time at full price. they're testing how long users are willing to eat the crap that costs 70$,138
Text_160,i cannot believe sony is able to put out games this good. i’ve been loyal to xbox and gamepass for as long as it’s been out but sony is just flat out better. i’ve had nothing to play on my series x while my ps5 runs constantly. i think i’m going to start collecting sony collectors editions after paying $70 for the last of us part 1 because sony is pure world class,366
Text_161,this remake of this game is free when you buy a ps5. selling me a slightly better version for $70 is ridiculous.,112
Text_162,"my problem is the price, why would anyone pay $74.95 for a remastered 2013 game because the graphics are better? you could buy the original for $10.00, you pay for the gameplay not the graphics, if this isn’t corporate greed i don’t know what is.",246
Text_164,"actually worse than the original game. yes this remake looks pretty but the gameplay has been completely butchered. joel takes twice as long to do everything, making him feel sluggish and unresponsive. swapping weapons, aiming, crouching, picking up items, climbing over ledges are all noticeably slower. guns have much slower fire rates and there are a ton of ledges and objects you could",389
Text_169,"the same great game we all fell in love with, but now they justify a massive price tag by remastering it for current generations. 70 dollars for a decade old game just because it looks nicer? it's not like the first remaster (yes, there has already been one remaster) is particularly outdated. if you've never played the games before, i guess this is a good buy, but if you're coming from the",392
Text_173,"full price for another remake... this is not needed or wanted. i want a new game, i already own the last of us, and can play it whenever i want. small updates are not worth my time and certainly not worth full price.",216
Text_174,"this is one of the greats as far as sony ips, but the $70 price tag on a game that has minimal improvements and dated gameplay mechanics makes this a hard pill to swallow. i'm not so petty as to give this a 0 as some here have, but this is overpriced and incomplete.",266
Text_175,just a visual update no multiplayer not worth the price wait for sale maybe 20 bucks at best.,93
Text_176,"70$ im poor :-(

well i need 75 characters sooo ignore the rest of this lol",75
Text_178,"is it a good game? of course it is, it's the last of us, released to critical acclaim in 2013

is there anything bad about it? of course there is, it's the last of us, released to critical acclaim in 2013  we are now ""remaking"" games that aren't even 10 years old to sell them again at full price  there is nothing you get here that can't be found in the remastered version of ps4",384
Text_182,it looks great but you can’t really justify spending $70(more in other countries) on a game that feels so dated and out of place. this would be better as a rental as it doesn’t even have any of the multiplayer features.,219
Text_184,"it has very good graphics, but it’s not what they promised regarding the gameplay, it has new textures and resolution, but it keeps the same gameplay, movements, story and all the same scenes, low fps. the last of us part i: besides, it is also the most expensive remake in the history of video games, they are selling it more expensive than resident evil 2 & fanal fantasy vii remake, but",389
Text_188,same game but not have multiplayer lol. overpriced! i think this game can be $10,80
Text_190,"while this game does admittedly deliver very nice graphics and is the same last of us we all know and love, this is very dull when we consider this is a game released nearly a decade ago and it's $70 and it doesn't even have multiplayer like the first last of us did! even the grand theft auto v remaster at least isn't full price even if it's still a bad remaster, seriously, just pick up",389
Text_194,i can't believe sony is this greedy. giving us the same game that came out in 2013 and asking us to give $70. such a shame,122
Text_195,"we expect a remastered remake on ps6 with a price of 100$, sony as always only cares about money.",97
Text_198,"a missed oportunity of greatness !
comparison to the remastered version:
improvements: 1.graphical fidelity (poligon count) in character models and assets (almost everything is new and looks awesome) 2. facial animations expressing emotions almost realisticly 3. the accessibility features are awesome although disabled people shouldnt be milked 70$ for it, if nd cared for the disabled they",391
Text_1,i appreciate the work from sony but the price for a game that’s been released 3 time in less than 10 years! i can’t find any excuse for that,140
Text_2,nothing has changed except for the graphics. even multiplayer has been removed. i think this is too expensive,109
